岗位基础信息—— 会前必填,,,,,,,,,,,,,,,,用于招聘编制申请，及寻访吸引提效 —— （周末补充完毕）,,,,,面试流程设置 —— （周末补充完毕，不确定者可现场共识填写）,,,
二级部门,三级部门,需求对接人,岗位名称,岗位JD,需求数量,必备经验/技能（1~3点）,职级职等,所属序列,"base地
（可多项）",是否需要出差及频率（如前三月，每月一周等）,期望到岗月份（考虑实际完成可能性，包含离职交接3-4周）,招聘优先级（提出人排序自己所提需求紧急顺序1234...）（会上再进行总体排序共识）,候选人上级,招聘承接人,状态,外招必要性/该岗核心解决问题——优质人选吸引必问,试用期核心任务1~3项——部门要想清楚解决什么问题,目标公司3家以上（如果有倾向）,岗位吸引点1~3点（结合业务发展、技术、人员发展，提供我们优势于其他公司之处）,团队内该方向岗已有几人+计划设置几人,简历筛选人员,一轮面试官,二轮面试官,"三轮面试官
（若需要）"
硬件研发部,NPI产品导入部,聂博文,高级硬件工程师-SoC,"职责：
1. 负责机器人高算力主板与硬件系统方案设计，覆盖 SoC、传感器、驱动、电源等关键器件选型。
2. 完成原理图设计并指导高速接口 Layout 设计与检查，覆盖 MIPI、USB、PCIe、SDIO 等关键链路。
3. 输出 BOM、测试治具需求和生产导入资料，支撑样机到小批试产的硬件落地。
4. 主导板级调试、白盒测试和 EMC/稳定性问题定位，支撑认证与量产问题闭环。
任职要求：
1. 具备 5 年以上复杂硬件开发经验，有机器人、智能硬件或高算力终端主板经验。
2. 熟悉 RK、海思、MTK、地瓜等 SoC 平台及其外围电路设计要点。
3. 具备高速接口设计、EMC/可靠性设计和多轮样机调试经验。
加分项：
1. 有完整量产导入经验者优先。
2. 有摄像头、音频、显示等复杂外设协同调试经验者优先。",1,"1. 熟悉高算力 SoC 主板设计和外围关键器件选型。
2. 熟悉 MIPI、USB、PCIe、SDIO 等高速接口设计与 Layout 检查。
3. 能独立推进板级调试、白盒测试和可靠性问题闭环。",P4-1,硬件开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差2次，每次1周,6,2,刘志刚,,,"外招必要性：中
核心解决问题：
1. 尽快完成本体高算力主板方案收敛，降低样机反复返板风险。
2. 建立主板硬件设计、测试和生产导入的一体化闭环。","1. 完成主板硬件框架设计和关键物料选型，冻结首版原理图方案。
2. 完成 SoC 主板及周边高速接口电路设计并通过 Layout Review。
3. 完成首轮样机调试，输出问题清单和下一轮优化方案。",/,"1. 可直接参与定义家庭机器人高算力主板的总体方案。
2. 可以完整经历从架构选型、样机验证到试产导入的全链路硬件闭环。
3. 角色贴近整机核心能力，决策权和问题复杂度都明显高于普通消费电子主板岗。",已有3人，计划5人,刘志刚,刘志刚,李清,
硬件研发部,NPI产品导入部,聂博文,高级硬件工程师-底盘,"职责：
1. 负责机器人底盘与运动硬件方案设计，覆盖 MCU、驱动、电源、传感器和执行机构等关键模块。
2. 完成底盘控制板原理图设计，并指导大电流、电机驱动和控制链路的 Layout 设计与 Review。
3. 输出 BOM、测试资料和白盒测试项，支撑底盘样机、可靠性和认证测试。
4. 参与底盘硬件调试与供应商技术评审，推动创新底盘方案落地。
任职要求：
1. 具备 5 年以上机器人或运动控制硬件经验，能独立完成底盘硬件方案设计。
2. 熟悉直流无刷电机、步进电机驱动及大电流应用设计。
3. 熟悉 MCU、传感器、电源和驱动系统的系统级联调。
加分项：
1. 有底盘量产项目或移动机器人项目经验者优先。
2. 有创新性底盘方案定义经验者优先。",1,"1. 至少 5 年机器人行业经验。
2. 熟悉直流无刷电机、步进电机驱动及大电流应用设计。
3. 具备底盘硬件方案设计和落地能力。",P4-1,硬件开发序列,合肥/苏州/深圳,需较多出差调研交流供应商,5,1,刘志刚,,,"外招必要性：高
核心解决问题：
1. 完成底盘硬件架构设计并提出创新实现方案。
2. 缩短底盘方案验证周期，降低运动系统稳定性和安全性风险。","1. 完成电源系统、MCU、电机驱动系统和关键传感器电路设计。
2. 完成底盘控制板首版样机调试并输出测试基线。
3. 联合结构、控制和测试团队推进底盘方案第一轮验证。","云迹
猎户星空
擎朗
松灵","1. 可直接参与底盘硬件方案定义，而不是只做既定板卡修改。
2. 工作结果直接影响整机运动体验、安全性和可靠性，价值链位置高。
3. 有机会把创新底盘方案真正推到真机和量产准备阶段。",,刘志刚,刘志刚,李清,
终端软件研发部,系统技术研发二部,聂博文,大模型应用/Agent开发工程师,"职责：
1. 负责机器人 Agent 应用链路设计与开发，打通意图理解、工具调用、任务编排和结果反馈。
2. 负责 Prompt、RAG、工具调用、工作流编排和 API 封装等工程能力落地。
3. 与端侧应用、云服务和交互团队协同，推动机器人交互能力快速产品化。
4. 参与关键能力评测、异常处理和线上问题复盘，持续优化 Agent 可控性和稳定性。
任职要求：
1. 具备 3 年以上 AI 应用工程化经验，有 LLM、RAG 或 Agent 落地案例。
2. 熟悉主流大模型接入、Prompt 设计、工具调用和服务编排方案。
3. 具备较强工程实现能力，能把实验能力推进到稳定可交付的产品链路。
加分项：
1. 熟悉 AI 编程工具和自动化研发流程者优先。
2. 有机器人、智能终端或多模态交互产品经验者优先。",2,"1. 有大模型应用工程化落地经验，至少完整做过一类 Agent 或 RAG 系统。
2. 熟练使用AI编程工具（Codex、Claude Code）。
3. 具备扎实的软件工程能力，能独立推动能力上线与迭代。",P3-3,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1-2周,5,1,李昶锦,,,"外招必要性：高
核心解决问题：
1. 搭建机器人 Agent 应用框架并缩短交互能力上线周期。
2. 把大模型能力从 Demo 状态推进到可维护、可评测、可迭代的产品能力。","1. 梳理现有交互与 Agent 技术栈，完成首版应用架构设计。
2. 落地至少 1 个机器人 Agent 关键链路，包括工具调用和结果回写。
3. 补齐关键评测指标和异常处理闭环，完成至少 1 轮效果优化。","字节跳动-扣子（Coze）
智谱-AutoGLM
Manus
涂鸦智能
月之暗面（Kimi）
MiniMax
Dify","1. 参与将最前沿的 Agent 能力（如OpenClaw）嵌入机器人主链路。
2. 可以同时触达端侧、云侧和实体设备，问题复杂度与成长斜率都更高。
3. 岗位离业务结果很近，能力上线后能快速在真实家庭场景验证效果。",已有2人，计划4人,李昶锦,李昶锦,聂博文,陈立柱
终端软件研发部,系统技术研发二部,聂博文,Linux应用开发工程师,"职责：
1. 负责 Linux 平台应用层与中间件架构设计和核心模块开发。
2. 负责 SDK 与中间件组件封装，向上层业务提供稳定调用接口。
3. 负责多线程、网络通信、业务逻辑和端侧服务的开发、调试与维护。
4. 与驱动、框架、算法和交互团队联调，支撑产品功能快速迭代。
任职要求：
1. 具备 3 年以上 Linux 应用开发经验，能独立负责复杂业务模块。
2. 熟悉 C 或 C++，并具备多线程、网络通信和系统调试能力。
3. 具备较强的软件工程意识，能够兼顾性能、稳定性和接口可维护性。
加分项：
1. 熟悉 AI 编程工具和自动化研发流程者优先。
2. 有机器人、智能硬件或端侧中间件开发经验者优先。",2,"1. 具备 Linux 应用和中间件开发经验。
2. 熟悉多线程、网络通信和系统级问题定位。
3. 熟练使用AI编程工具（Codex、Claude Code）。",P3-3,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,5,2,李昶锦,,,"外招必要性：中
核心解决问题：
1. 补齐 Linux 应用与 SDK 开发能力，支撑产品功能迭代。
2. 避免内部转向学习成本拖慢当前项目节奏。","1. 完成关键中间件组件设计与实现，形成稳定 SDK 接口。
2. 完成 1 到 2 个核心应用模块开发并接入现有技术栈。
3. 与算法和驱动团队完成联调，支撑项目版本交付。","1. 涂鸦智能。
2. 石头科技。
3. 追觅。","1. 可参与机器人端侧应用框架和核心 SDK 的定义，而不是单纯做功能修修补补。
2. 岗位处于算法、驱动和业务之间的关键连接层，技术广度和系统视角都强。
3. 业务节奏快，功能上线后能快速在真机和真实场景验证结果。",已有1人，计划3人,李昶锦,李昶锦,陈立柱,
终端软件研发部,系统技术研发二部,聂博文,Android应用开发工程师,"职责：
1. 负责 Android 客户端架构设计与核心功能开发，支撑机器人 App 端能力落地。
2. 负责账号、设备连接、消息、远程控制、内容呈现等关键模块开发与维护。
3. 与云服务、机器人端侧和交互团队协同，打通端云设备闭环体验。
4. 参与性能优化、稳定性治理和发布流程建设。
任职要求：
1. 具备 3 年以上 Android 开发经验，熟悉 Java 或 Kotlin。
2. 熟悉 Android SDK、组件化、多线程、网络通信和常见性能优化手段。
3. 具备较好的工程规范和架构设计能力。
加分项：
1. 有 IoT、智能硬件或陪伴类产品经验者优先。
2. 熟悉 AI 能力接入、流式交互或音视频能力者优先。",1,"1. 熟悉 Java 或 Kotlin、Android SDK 与常见网络框架。
2. 能独立负责客户端核心模块和稳定性优化。
3. 熟练使用AI编程工具（Codex、Claude Code）。",P3-3,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,7,3,李昶锦,,,"外招必要性：中
核心解决问题：
1. 补齐机器人配套 App 端能力，打通家庭成员与机器人之间的服务闭环。
2. 避免本体能力做出来但 App 端承接不住，影响整体用户价值闭环。","1. 梳理现有 Android 技术栈并完成首版客户端架构补强方案。
2. 落地 1 到 2 个核心功能模块并打通机器人端联调。
3. 补齐客户端性能与稳定性基线，形成发布前检查清单。",/,"1. 可直接定义机器人配套 App 的核心体验，而不是做成熟业务的局部维护。
2. 岗位天然连接机器人、云服务和家庭成员三方，是服务闭环的关键入口。
3. 能在真实设备和真实用户场景中快速看到功能影响，反馈周期短。",已有1人，计划2人,李昶锦,李昶锦,陈立柱,
终端软件研发部,系统技术研发三部,聂博文,具身智能算法-VLN方向,"职责：
1. 负责VLN算法研发与优化，提升机器人在家庭场景中的语义导航能力。
2. 参与多模态模型在导航任务中的训练、微调、部署和效果评测。
3. 设计导航策略与目标表示，支撑机器人在复杂家庭环境中的任务完成。
4. 跟踪并复现前沿算法，推动方法在真实系统中的落地。
任职要求：
1. 硕士及以上学历，计算机视觉、机器人或人工智能相关专业。
2. 具备 3 年以上具身智能、多模态算法或机器人导航研发经验。
3. 熟悉 Transformer、VLM/VLN/VLA 相关技术，并具备工程落地能力。
加分项：
1. 有机器人真机部署经验者优先。
2. 发表过相关论文或有开源贡献者优先。",3,"1. 深度理解 Transformer、VLM 架构，熟悉多模态融合技术
2. 精通 PyTorch，代码规范良好，具备工程化思维
3. 有多模态大模型（Qwen-VL、LLaVA）微调经验",P3-3,研究算法序列,苏州,每月1次，每次2-3天（用于技术评审及真机测试）,5,1,周雨澄,,,"外招必要性：高
核心解决问题：
1. 加速导航核心算法研发与优化，抢占具身导航基础模型窗口。
2. 支撑机器人形成可泛化的语义导航和世界记忆能力。","1. 熟悉现有 VLN 技术栈与代码架构，完成能力盘点。
2. 完成 1 到 2 个导航算法模块优化或重构，并给出量化结果。
3. 参与真机测试并完成至少 1 次算法迭代闭环。","银河通用
高德
上海AI Lab
北京智源
阿里（达摩院）","1. 不仅是纯论文或纯仿真，而是算法可以快速进入真实家庭场景和真机闭环。
2. 问题空间足够前沿，同时离产品结果足够近，能够看到技术转化为真实用户价值。
3. 团队处于从 0 到 1 搭建期，候选人有机会定义下一代机器人导航技术的方向、框架和评测标准。",已有1人，计划4人,周雨澄,周雨澄,聂博文,谢信珍
终端软件研发部,系统技术研发三部,聂博文,具身智能算法-强化学习方向,"职责：
1. 负责强化学习算法在机器人导航和行为决策中的应用研发。
2. 设计强化学习训练环境、奖励函数和策略迭代流程。
3. 将强化学习方法与现有规控体系结合，提升机器人在动态场景中的自主决策能力。
4. 参与仿真到真机的迁移验证和效果评测。
任职要求：
1. 硕士及以上学历，机器人、人工智能或控制相关专业。
2. 具备 3 年以上强化学习或机器人决策算法研发经验。
3. 熟悉 PPO、SAC、DQN 等算法及其工程落地方式。
加分项：
1. 有多智能体强化学习经验者优先。
2. 熟悉 Isaac Sim、Habitat 等仿真环境者优先。",1,"1. 熟悉强化学习算法（PPO、SAC、DQN等）及其应用
2. 熟悉行为规划或运动规划算法
3. 熟练使用 Python、ROS",P4-1,研究算法序列,苏州,每月1次，每次2-3天（用于技术评审及真机测试）,6,2,周雨澄,,,"外招必要性：高
核心解决问题：
1. 提升机器人在动态家庭场景中的自主决策能力。
2. 为拟人化行为策略和复杂任务优化提供方法储备。","1. 搭建适配现有机器人系统架构的强化学习环境。
2. 完成 1 个强化学习策略原型验证并输出评测结果。
3. 完成 1 项真机测试并给出策略迭代优化方案。","银河通用
高德
上海AI Lab
北京智源","1. 不仅是纯论文或纯仿真，而是算法可以快速进入真实家庭场景和真机闭环。
2. 问题空间足够前沿，同时离产品结果足够近，能够看到技术转化为真实用户价值。
3. 团队处于从 0 到 2 搭建期，候选人有机会定义下一代机器人导航技术的方向、框架和评测标准。",已有0人，计划1人,周雨澄,周雨澄,聂博文,谢信珍
终端软件研发部,系统技术研发三部,聂博文,具身智能算法-视觉方向,"职责：
1. 负责视觉感知算法研发与优化，构建目标检测、语义分割和场景理解能力。
2. 负责视觉输入到世界记忆表征的前端感知链路设计。
3. 优化视觉算法在端侧部署时的实时性、准确性和稳定性。
4. 与导航、记忆和规控团队协同，支撑世界状态构建。
任职要求：
1. 硕士及以上学历，计算机视觉、机器人等相关专业。
2. 具备 3 年以上视觉算法研发经验，做过完整视觉项目。
3. 熟悉目标检测、分割、场景理解及 VLM 相关应用。
加分项：
1. 有 SLAM 或 3D 视觉项目经验者优先。
2. 有 BEV 感知经验者优先。",1,"1. 熟悉目标检测、语义分割和场景理解算法。
2. 具备把视觉能力与 VLM 或世界状态建模结合的经验。
3. 熟练使用 Python、C++ 并具备工程优化能力。",P3-3,研究算法序列,苏州,每月1次，每次2-3天（用于技术评审及真机测试）,5,1,周雨澄,,,"外招必要性：高
核心解决问题：
1. 构建世界记忆的视觉前端核心链路。
2. 提出从视觉输入到长期记忆的工程化方法。","1. 熟悉现有视觉感知系统架构并梳理关键瓶颈。
2. 完成 1 到 2 个视觉检测模块优化或开发。
3. 参与真机测试并完成性能优化闭环。","银河通用
追觅
旷视
卓驭","1. 不仅是纯论文或纯仿真，而是算法可以快速进入真实家庭场景和真机闭环。
2. 问题空间足够前沿，同时离产品结果足够近，能够看到技术转化为真实用户价值。
3. 团队处于从 0 到 3 搭建期，候选人有机会定义下一代机器人导航技术的方向、框架和评测标准。",已有1人，计划2人,周雨澄,周雨澄,聂博文,
终端软件研发部,系统技术研发三部,聂博文,感知算法工程师-视觉定位,"职责：
1. 负责双目视觉定位与多传感器融合定位算法研发，支撑家庭场景建图与定位。
2. 负责视觉、IMU、里程计等多源信息融合，提升定位精度和鲁棒性。
3. 推动地图持久化、更新机制和真实家庭场景下的建图验证。
4. 与导航和规控团队协同，提供稳定的位姿输入。
任职要求：
1. 具备 3 年以上视觉定位、SLAM 或多传感器融合定位经验。
2. 深入理解卡尔曼滤波、图优化或因子图等定位方法。
3. 熟悉双目相机深度估计基础并具备扎实 C++ 工程能力。
加分项：
1. 有真实家居场景建图落地经验者优先。
2. 有地图持久化和更新机制设计经验者优先。",1,"1. 熟练掌握视觉、IMU、里程计等多传感器融合定位方法。
2. 深入理解卡尔曼滤波或图优化等算法。
3. 熟练使用 C++，具备系统联调与工程优化能力。",P3-3,研究算法序列,合肥/苏州,每月3-5天，主要是集中评审和真机联调,5,1,于周顺泽,,,"外招必要性：高
核心解决问题：
1. 实现端侧实时 3D 视觉定位与稳定建图。
2. 解决真实家居场景下弱光、反光、纹理缺失等典型定位问题。","1. 跑通双目、IMU、里程计融合定位链路并完成实验室稳定建图。
2. 在至少 3 户真实家居场景中输出建图质量和定位精度评估报告。
3. 完成地图持久化存储、加载和基础更新机制。","卓驭
留形科技
INDEMIND
大疆","1. 有机会定义机器人在真实家庭中“在哪里、怎么走”的定位底座能力。
2. 该岗位既有算法深度，也有大规模真机场景验证，技术闭环完整。
3. 对整机导航稳定性影响直接，成果可快速转化为产品能力。",已有1人，计划3人,于周顺泽,于周顺泽,聂博文,
终端软件研发部,系统技术研发三部,聂博文,感知算法工程师-3D视觉,"职责：
1. 负责双目深度估计与 3D 视觉感知算法研发，支撑障碍物检测与环境理解。
2. 负责静态和动态障碍物检测能力落地，并处理弱纹理、反光等复杂家居场景。
3. 推动算法在目标平台上的实时部署和性能优化。
4. 与规控和测试团队协同，建立量化评测基线。
任职要求：
1. 具备 3 年以上 3D 视觉或计算机视觉工程经验。
2. 精通双目立体视觉原理、深度估计算法和相机成像模型。
3. 熟练使用 C++、Python、OpenCV、Eigen 等工程工具。
加分项：
1. 有端侧部署优化经验者优先。
2. 有复杂家居场景障碍物检测经验者优先。",1,"1. 精通双目立体视觉和深度估计算法。
2. 熟悉相机成像原理、镜头畸变和标定模型。
3. 具备目标平台部署优化和性能调优能力。",P3-3,研究算法序列,合肥/苏州,每月3-5天，主要是集中评审和真机联调,5,1,于周顺泽,,,"外招必要性：高
核心解决问题：
1. 实现端侧实时双目深度恢复，用于障碍物检测。
2. 补齐复杂家庭场景下的感知精度、召回率和部署效率。","1. 跑通双目深度估计基础流程并输出深度图质量和帧率基线。
2. 完成静态与动态障碍物检测能力在真实家居场景下的验证。
3. 完成至少 1 个高价值环境特征识别能力的部署优化。","卓驭
留形科技
INDEMIND","1. 算法结果直接决定机器人是否看得懂、躲得开，技术价值非常直观。
2. 能够在真实家居环境中快速验证模型效果。
3. 有机会同时做算法创新与端侧部署优化。",,于周顺泽,于周顺泽,聂博文,
终端软件研发部,系统技术研发三部,聂博文,规控算法工程师-运动规划,"职责：
1. 负责头部与底盘协同轨迹规划，生成符合家庭场景约束的平滑运动轨迹。
2. 负责速度曲线优化、动态避障、回充导航和脱困策略设计。
3. 接入感知、定位和安全约束输入，形成可执行的运动规划方案。
4. 建立平滑性、舒适性和导航成功率等量化评测指标。
任职要求：
1. 具备 3 年以上机器人运动规划或导航规划经验。
2. 精通全局和局部路径规划算法，并理解轮式机器人运动学约束。
3. 具备多执行器协同规划经验，能兼顾可行性、舒适性和安全性。
加分项：
1. 有云台与底盘或机械臂与底盘协同经验者优先。
2. 有家庭服务机器人或移动机器人真机经验者优先。",1,"1. 精通全局与局部路径规划算法并能结合场景调优。
2. 具备底盘运动学建模能力并理解动力学限制。
3. 具备多自由度或多执行器协同规划经验。",P4-1,研究算法序列,合肥/苏州,每月3-5天，主要是集中评审和真机联调,6,2,于周顺泽,,,"外招必要性：高
核心解决问题：
1. 解决强人机交互场景下机器人运动更拟人、更舒适的问题。
2. 补齐动态避障、回充、脱困等运动主链能力。","1. 接入感知和 SLAM 实际数据，在真实家居场景实现动态避障导航。
2. 完成头部与底盘协同轨迹规划核心框架，并覆盖至少 2 类典型场景。
3. 完成回充导航和脱困策略基础流程，输出量化评估指标。","追觅
云迹
大疆","1. 直接影响机器人在家庭中的运动自然度、安全性和陪伴体验。
2. 岗位既有算法挑战，也有真机联调和整机体验优化空间。
3. 能够真实定义“机器人像不像一个可靠的家庭成员”中的运动部分。",已有2人，计划4人,于周顺泽,于周顺泽/王仁祥,聂博文,谢信珍
终端软件研发部,系统技术研发三部,聂博文,规控算法工程师-行为规划,"职责：
1. 负责行为树或状态机框架选型、搭建和维护，作为任务编排基础设施。
2. 负责任务级调度逻辑设计，管理巡逻、找用户、回充、待机等任务优先级和切换逻辑。
3. 设计安全事件触发后的暂停、重试、放弃和恢复流程，保证状态一致性。
4. 统一接收并标准化 VLN、业务任务和交互意图等外部输入。
任职要求：
1. 具备 3 年以上机器人决策系统开发经验，熟悉行为树或状态机设计。
2. 具备严谨的逻辑设计能力，能覆盖边界条件和异常组合。
3. 有行为树框架使用和二次开发经验，理解复杂任务调度系统。
加分项：
1. 有安全决策、异常恢复或任务编排经验者优先。
2. 有长期状态建模或世界状态管理经验者优先。",1,"1. 具备机器人任务调度或行为树开发经验。
2. 具备严谨逻辑设计能力，能系统性处理异常和恢复条件。
3. 有实际行为树框架使用和二次开发经验。",P4-1,研究算法序列,合肥/苏州,每月3-5天，主要是集中评审和真机联调,6,2,于周顺泽,,,"外招必要性：高
核心解决问题：
1. 基于长期世界记忆实现任务行为编排系统。
2. 把安全事件、任务调度和状态恢复逻辑真正落到系统里。","1. 完成行为树框架与状态机基础设计，明确状态定义和转换条件。
2. 打通至少 1 条从任务输入到执行状态回写的完整链路。
3. 完成安全事件触发下的暂停、恢复和放弃逻辑原型验证。","追觅
云迹
大疆","1. 岗位直连机器人“怎么思考、如何做决定”的核心能力，而不是外围策略微调。
2. 可以把行为树、状态机和安全恢复流程真正做成产品主链基础设施。
3. 对未来 S4 owner 路径有明确成长空间。",,于周顺泽,于周顺泽/王仁祥,聂博文,谢信珍
终端软件研发部,系统技术研发三部,聂博文,高级嵌入式工程师-运动控制,"职责：
1. 负责家庭机器人底层 MCU 软件架构与核心模块开发，覆盖运动控制和设备管理。
2. 负责电机控制算法优化、多传感器融合和上位机协同通信架构设计。
3. 主导整机联调、复杂问题定位和系统稳定性优化。
4. 推动底层控制方案沉淀为可复用的工程能力。
任职要求：
1. 本科及以上学历，具备 5 年以上嵌入式开发经验。
2. 熟悉 STM32、GD32、NXP RT 等平台并做过完整量产项目。
3. 精通 C/C++、电机控制和复杂系统调试。
加分项：
1. 有 FOC、电机控制算法优化经验者优先。
2. 有机器人或多传感器复杂系统调试经验者优先。",1,"1. 精通 C/C++ 并具备软件架构设计能力。
2. 熟悉电机控制和常见控制算法。
3. 有机器人、多传感器系统或复杂系统调试经验。",P4-1,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,5,1,王传杰,,,"外招必要性：高
核心解决问题：
1. 完成整机控制架构与关键模块开发。
2. 优化电机控制和多自由度协同控制，提升稳定性和可复用性。","1. 完成底层控制架构梳理并明确关键技术债清单。
2. 攻克至少 1 个核心控制难点并推动整机性能达标。
3. 完成一轮整机稳定性验证并沉淀可复用方案。","追觅
宇树
大疆
汇川技术","1. 岗位直接掌控机器人底层控制核心，对整机体验和稳定性影响极大。
2. 可以同时接触控制算法、嵌入式架构和整机联调，技术纵深很完整。
3. 有机会定义下一阶段机器人控制底座。",已有2人，计划4人,王传杰,王传杰,聂博文,陈立柱
终端软件研发部,系统技术研发三部,王传杰,MCU开发工程师,"职责：
1. 参与家庭机器人底层 MCU 软件开发，覆盖运动控制基础功能和设备管理。
2. 负责常见外设、传感器与通信接口驱动开发。
3. 参与电机控制基础能力实现和整机联调问题定位。
4. 支撑底层平台稳定迭代和量产问题闭环。
任职要求：
1. 本科及以上学历，具备 2 年以上嵌入式开发经验。
2. 熟悉 STM32、GD32 等 MCU 平台开发。
3. 熟练使用 C 语言并具备基础驱动开发能力。
加分项：
1. 有电机控制或传感器项目经验者优先。
2. 有机器人或复杂设备联调经验者优先。",2,"1. 熟悉 STM32、GD32 等 MCU 开发。
2. 熟练使用 C 语言并具备驱动开发能力。
3. 熟悉电机控制或传感器应用者优先。",P3-2,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,6,2,王传杰,,,"外招必要性：中
核心解决问题：
1. 补齐底层驱动与设备管理开发力量。
2. 提升底层问题响应速度，减轻资深嵌入式工程师负担。","1. 完成至少 1 类关键外设或传感器驱动开发并通过联调验证。
2. 完成 1 个基础电机控制或设备管理模块交付。
3. 参与整机联调并独立定位解决至少 1 类底层问题。","追觅
美的
汇川技术","1. 可以直接进入机器人底层控制主链，而不是停留在单一 MCU 外设开发。
2. 岗位能快速积累设备管理、驱动开发和整机联调三类经验。
3. 对后续成长为高级嵌入式或控制架构方向有清晰路径。",,王传杰,王传杰,陈立柱,
终端软件研发部,系统技术研发三部,王传杰,高级电机控制软件工程师,"职责
1.负责在MCU平台上实现关节控制软件架构设计，模块设计，调试器，观测器设计等工作
2.与嵌入式工程师协同，优化软件平台，硬件平台，具备在不同的主控上的快速可复用性
3.其他必要的工具类开发，如调试软件，波形分析软件等
要求
1.本科及以上学历，机械，电气、自动化、相关专业，5年以上相关工作经验；
2.具有工业伺服，机器人关节，智能汽车控制器等开发经历，其一即可；
3.具有常见的通讯方案、电机控制算法、运行效率优化等开发经历；",1,1. 具有工业伺服，机器人关节，智能汽车控制器等开发经历,P4-1,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,5,1,王传杰,,,"外招必要性：高
核心解决问题：
1. 把伺服控制从架构到设计细节规划并实现，能站在场景的角度解释为什么这么做，并结合机器人整机形成系统性优势。",,"汇川技术
埃斯顿
禾川
步科
巨一自动化
阳光电源
零差云控
达闼","1. 参与前沿具身智能技术从0到1的产品化落地
2. 规模化的真实家庭场景数据与真机验证
3. 与顶尖AI团队协作，推动基础模型产品化
4. 技术成果可直接转化为产品能力",已有1人，计划2人,王传杰,王传杰,陈立柱,
终端软件研发部,系统技术研发三部,王传杰,电机控制算法工程师,"职责
1、负责机器人关节电机的算法开发、测试，优化，工程化等工作。
2、协助同事完成关节性能优化等工作。
要求
1、硕士及以上学历，机械电子，电气工程、自动化，计算机相关专业，具有2年以上相关开发经验。
2、精通PMSM电机FOC控制算法，熟悉电角度辨识算法，参数识别，惯量识别等
3、熟悉机械臂控制相关需求，电机控制模型，有机械臂关节优化开发经验
4、熟练使用STM32、GD32等MCU；熟悉常见的通讯方式，如UART、SPI、IIC；熟练使用Keil、IAR等MCU开发软件；有Linux基础，会写测试脚本
5、了解工业以太网协议，如Ecat、Eip、Canopen等",1,"1. 精通PMSM电机FOC控制算法，熟悉电角度辨识算法，参数识别，惯量识别等
2. 熟悉机械臂控制相关需求，电机控制模型，有机械臂关节优化开发经验",P3-2,嵌入式开发序列,合肥/苏州/深圳,若base地不在合肥，需每月出差1次，每次1周,6,2,王传杰,,,"外招必要性：高
核心解决问题：
1. 解决关节扭矩估计精度，关节运行平稳性，最大极限性能等关键性能指标。",,"汇川技术
埃斯顿
禾川
步科
巨一自动化
阳光电源
零差云控
达闼","1. 参与前沿具身智能技术从0到1的产品化落地
2. 规模化的真实家庭场景数据与真机验证
3. 与顶尖AI团队协作，推动基础模型产品化
4. 技术成果可直接转化为产品能力",已有0人，计划1人,王传杰,王传杰,陈立柱,